행정구역(시군구)별,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
기흥구,436881,215533,221348,436636,215384,221252,435948,215021,220927
수지구,377914,184202,193712,377921,184182,193739,377887,184131,193756
파주시,496450,251832,244618,496870,252022,244848,496920,252103,244817
이천시,222148,115650,106498,222348,115806,106542,222366,115823,106543
안성시,188574,97561,91013,188637,97607,91030,189109,97870,91239
김포시,484514,242029,242485,484474,242029,242445,485049,242337,242712
화성시,922231,479113,443118,925186,480653,444533,928550,482426,446124
화성시동부출장소,0,0,0,0,0,0,0,0,0
화성시동탄출장소,0,0,0,0,0,0,0,0,0
광주시,390949,199468,191481,390863,199369,191494,391053,199524,191529
양주시,250698,126690,124008,252218,127440,124778,255149,128951,126198
포천시,145614,77170,68444,145373,77027,68346,144922,76751,68171
여주시,113209,57644,55565,113375,57693,55682,113650,57815,55835
연천군,41762,21951,19811,41744,21929,19815,41811,21952,19859
가평군,61969,32009,29960,61915,31961,29954,61836,31919,29917
양평군,122661,61661,61000,122767,61734,61033,122981,61806,61175
강원도,1533719,771574,762145,1533356,771382,761974,1533081,771322,761759
춘천시,286850,141586,145264,286743,141519,145224,286854,141555,145299
원주시,360752,178847,181905,360974,178935,182039,361030,179001,182029
강릉시,210678,104419,106259,210630,104403,106227,210558,104361,106197
동해시,89186,45323,43863,89150,45303,43847,89144,45302,43842
태백시,39050,19678,19372,39006,19650,19356,38929,19618,19311
속초시,82541,40885,41656,82499,40867,41632,82521,40876,41645
삼척시,63487,32220,31267,63444,32193,31251,63359,32145,31214
홍천군,67759,34845,32914,67661,34824,32837,67649,34864,32785
횡성군,46621,23904,22717,46647,23896,22751,46602,23875,22727
영월군,37656,19496,18160,37641,19491,18150,37601,19468,18133
평창군,40787,21080,19707,40729,21064,19665,40722,21065,19657
정선군,34759,18153,16606,34715,18136,16579,34647,18093,16554
철원군,41994,21759,20235,41913,21716,20197,41816,21687,20129
화천군,23144,12416,10728,23133,12400,10733,23174,12443,10731
양구군,21351,11213,10138,21348,11218,10130,21342,11212,10130
인제군,32089,17487,14602,32097,17481,14616,32068,17459,14609
고성군,27155,13992,13163,27157,14003,13154,27224,14026,13198
양양군,27860,14271,13589,27869,14283,13586,27841,14272,13569
충청북도,1594056,810811,783245,1594109,810806,783303,1594007,810783,783224
청주시,849539,429363,420176,849887,429500,420387,849941,429484,420457
서원구,189555,94552,95003,189070,94272,94798,188849,94133,94716
청원구,193028,99556,93472,193037,99589,93448,193071,99608,93463
상당구,197607,98176,99431,197775,98278,99497,197883,98289,99594
흥덕구,269349,137079,132270,270005,137361,132644,270138,137454,132684
충주시,208001,105451,102550,207993,105422,102571,207974,105433,102541
제천시,131551,66169,65382,131459,66103,65356,131415,66103,65312
보은군,31414,15862,15552,31375,15849,15526,31349,15838,15511
옥천군,49311,24904,24407,49292,24883,24409,49262,24868,24394
