"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"충청남도 서천군 마서면(4477031000)","4,657","4,657","103","218","218","227","413","754","1,109","853","627","134","1","2,301","2,301","50","108","124","135","244","440","591","366","210","32","1","2,356","2,356","53","110","94","92","169","314","518","487","417","102","0"
"충청남도 서천군 화양면(4477032000)","2,170","2,170","35","49","87","91","150","270","524","449","430","85","0","1,068","1,068","19","31","55","53","95","148","275","206","166","20","0","1,102","1,102","16","18","32","38","55","122","249","243","264","65","0"
"충청남도 서천군 기산면(4477033000)","1,544","1,544","17","48","63","50","116","200","415","310","256","67","2","766","766","7","28","35","28","80","107","219","140","108","14","0","778","778","10","20","28","22","36","93","196","170","148","53","2"
"충청남도 서천군 한산면(4477034000)","2,405","2,405","56","92","98","93","192","333","557","458","448","78","0","1,133","1,133","33","43","54","53","112","176","266","223","151","22","0","1,272","1,272","23","49","44","40","80","157","291","235","297","56","0"
"충청남도 서천군 마산면(4477035000)","1,430","1,430","36","61","63","63","84","186","360","267","262","48","0","680","680","17","26","43","33","52","100","181","132","89","7","0","750","750","19","35","20","30","32","86","179","135","173","41","0"
"충청남도 서천군 시초면(4477036000)","1,213","1,213","27","32","55","49","70","153","312","229","243","40","3","592","592","15","18","31","30","42","87","164","106","87","11","1","621","621","12","14","24","19","28","66","148","123","156","29","2"
"충청남도 서천군 문산면(4477037000)","1,214","1,214","30","21","35","42","84","138","338","274","220","32","0","613","613","21","12","22","21","56","78","170","130","98","5","0","601","601","9","9","13","21","28","60","168","144","122","27","0"
"충청남도 서천군 판교면(4477038000)","2,001","2,001","31","61","76","61","128","265","559","422","329","68","1","982","982","12","28","43","38","76","140","297","213","119","16","0","1,019","1,019","19","33","33","23","52","125","262","209","210","52","1"
"충청남도 서천군 종천면(4477039000)","2,000","2,000","36","76","82","91","138","267","500","427","319","61","3","964","964","20","33","51","54","79","157","255","208","96","11","0","1,036","1,036","16","43","31","37","59","110","245","219","223","50","3"
"충청남도 서천군 비인면(4477040000)","2,851","2,851","54","77","147","148","178","464","795","564","349","74","1","1,432","1,432","39","38","102","93","100","266","400","262","117","15","0","1,419","1,419","15","39","45","55","78","198","395","302","232","59","1"
"충청남도 서천군 서면(4477041000)","4,126","4,126","161","218","238","232","430","683","1,021","674","408","59","2","2,125","2,125","75","106","144","147","276","390","523","301","148","15","0","2,001","2,001","86","112","94","85","154","293","498","373","260","44","2"
"충청남도 청양군 (4479000000)","30,271","30,271","1,032","2,011","2,415","1,848","2,779","4,880","6,831","4,384","3,484","599","8","15,452","15,452","536","1,055","1,448","1,020","1,613","2,729","3,556","2,091","1,230","171","3","14,819","14,819","496","956","967","828","1,166","2,151","3,275","2,293","2,254","428","5"
"충청남도 청양군 청양읍(4479025000)","10,143","10,143","526","1,091","1,297","843","1,210","1,621","1,721","1,020","666","145","3","5,172","5,172","272","562","769","448","639","855","861","483","237","44","2","4,971","4,971","254","529","528","395","571","766","860","537","429","101","1"
"충청남도 청양군 운곡면(4479031000)","2,097","2,097","39","82","137","79","143","328","539","355","343","52","0","1,057","1,057","22","42","90","50","82","174","297","160","122","18","0","1,040","1,040","17","40","47","29","61","154","242","195","221","34","0"
"충청남도 청양군 대치면(4479032000)","2,242","2,242","57","88","128","108","188","401","582","370","272","48","0","1,174","1,174","27","49","77","61","116","232","312","194","99","7","0","1,068","1,068","30","39","51","47","72","169","270","176","173","41","0"
"충청남도 청양군 정산면(4479033000)","3,455","3,455","129","234","245","252","344","585","764","480","359","62","1","1,791","1,791","58","135","153","145","202","316","404","229","124","24","1","1,664","1,664","71","99","92","107","142","269","360","251","235","38","0"
"충청남도 청양군 목면(4479034000)","1,469","1,469","31","72","76","69","110","255","380","226","210","40","0","774","774","20","38","51","36","68","153","209","111","78","10","0","695","695","11","34","25","33","42","102","171","115","132","30","0"
"충청남도 청양군 청남면(4479035000)","1,826","1,826","51","86","86","95","136","285","459","327","257","44","0","946","946","32","42","55","58","88","184","234","165","76","12","0","880","880","19","44","31","37","48","101","225","162","181","32","0"
"충청남도 청양군 장평면(4479036000)","2,226","2,226","61","102","109","83","176","325","576","423","337","33","1","1,136","1,136","32","50","59","43","123","193","302","188","140","6","0","1,090","1,090","29","52","50","40","53","132","274","235","197","27","1"
"충청남도 청양군 남양면(4479037000)","2,604","2,604","59","73","140","112","157","416","685","448","441","72","1","1,300","1,300","36","43","86","58","97","239","362","211","148","20","0","1,304","1,304","23","30","54","54","60","177","323","237","293","52","1"
"충청남도 청양군 화성면(4479038000)","2,119","2,119","35","102","104","95","154","321","544","394","307","62","1","1,068","1,068","18","51","62","57","95","189","273","195","105","23","0","1,051","1,051","17","51","42","38","59","132","271","199","202","39","1"
"충청남도 청양군 비봉면(4479039000)","2,090","2,090","44","81","93","112","161","343","581","341","292","41","1","1,034","1,034","19","43","46","64","103","194","302","155","101","7","0","1,056","1,056","25","38","47","48","58","149","279","186","191","34","1"
"충청남도 홍성군 (4480000000)","96,952","96,952","6,381","9,360","8,598","9,206","13,508","15,433","16,354","10,052","6,930","1,091","39","48,345","48,345","3,316","4,817","4,756","4,834","6,898","8,244","8,148","4,642","2,421","265","4","48,607","48,607","3,065","4,543","3,842","4,372","6,610","7,189","8,206","5,410","4,509","826","35"
"충청남도 홍성군 홍성읍(4480025000)","36,132","36,132","1,880","3,931","4,241","3,143","5,276","6,632","5,763","3,215","1,768","274","9","17,950","17,950","965","2,010","2,376","1,682","2,533","3,459","2,769","1,459","637","60","0","18,182","18,182","915","1,921","1,865","1,461","2,743","3,173","2,994","1,756","1,131","214","9"
"충청남도 홍성군 광천읍(4480025300)","7,944","7,944","222","503","421","407","673","1,263","1,909","1,446","968","129","3","3,898","3,898","122","276","247","243","384","655","957","638","339","36","1","4,046","4,046","100","227","174","164","289","608","952","808","629","93","2"
"충청남도 홍성군 홍북읍(4480025600)","29,054","29,054","3,797","3,896","2,772","4,515","5,711","3,844","2,537","1,171","699","108","4","14,586","14,586","1,977","2,004","1,421","2,214","2,867","2,049","1,236","562","234","22","0","14,468","14,468","1,820","1,892","1,351","2,301","2,844","1,795","1,301","609","465","86","4"
"충청남도 홍성군 금마면(4480032000)","3,427","3,427","80","121","178","193","268","589","875","591","457","71","4","1,748","1,748","44","67","105","124","163","343","456","284","142","20","0","1,679","1,679","36","54","73","69","105","246","419","307","315","51","4"
"충청남도 홍성군 홍동면(4480033000)","3,409","3,409","107","247","204","170","324","532","785","515","450","73","2","1,706","1,706","60","119","128","103","172","306","403","243","157","15","0","1,703","1,703","47","128","76","67","152","226","382","272","293","58","2"
"충청남도 홍성군 장곡면(4480034000)","2,816","2,816","66","120","111","138","196","401","683","520","514","65","2","1,350","1,350","33","55","70","77","122","222","352","223","180","15","1","1,466","1,466","33","65","41","61","74","179","331","297","334","50","1"
"충청남도 홍성군 은하면(4480035000)","2,187","2,187","26","64","103","76","149","307","568","445","370","75","4","1,126","1,126","15","35","57","53","94","188","304","225","133","22","0","1,061","1,061","11","29","46","23","55","119","264","220","237","53","4"
"충청남도 홍성군 결성면(4480036000)","2,016","2,016","22","67","84","85","122","283","555","372","367","56","3","991","991","10","41","51","55","82","148","283","169","140","11","1","1,025","1,025","12","26","33","30","40","135","272","203","227","45","2"
"충청남도 홍성군 서부면(4480037000)","3,102","3,102","56","123","140","126","246","474","855","574","425","82","1","1,517","1,517","19","60","87","75","145","253","444","266","151","17","0","1,585","1,585","37","63","53","51","101","221","411","308","274","65","1"
"충청남도 홍성군 갈산면(4480038000)","3,441","3,441","53","128","164","171","258","499","915","630","533","88","2","1,750","1,750","31","73","108","112","169","277","473","298","182","27","0","1,691","1,691","22","55","56","59","89","222","442","332","351","61","2"
"충청남도 홍성군 구항면(4480039000)","3,424","3,424","72","160","180","182","285","609","909","573","379","70","5","1,723","1,723","40","77","106","96","167","344","471","275","126","20","1","1,701","1,701","32","83","74","86","118","265","438","298","253","50","4"
"충청남도 예산군 (4481000000)","78,768","78,768","3,402","5,530","6,170","6,292","9,107","13,111","16,357","10,359","7,289","1,114","37","39,473","39,473","1,743","2,868","3,480","3,436","4,867","7,122","8,207","4,799","2,691","256","4","39,295","39,295","1,659","2,662","2,690","2,856","4,240","5,989","8,150","5,560","4,598","858","33"
"충청남도 예산군 예산읍(4481025000)","31,369","31,369","1,559","2,972","3,037","2,404","4,287","5,557","5,932","3,385","1,947","276","13","15,544","15,544","817","1,538","1,700","1,265","2,119","2,938","2,862","1,524","717","63","1","15,825","15,825","742","1,434","1,337","1,139","2,168","2,619","3,070","1,861","1,230","213","12"
