"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"부산광역시 북구 화명제1동(2632054100)","40,387","40,387","3,590","4,138","4,845","5,010","6,105","7,597","6,266","2,031","711","91","3","19,696","19,696","1,815","2,093","2,600","2,404","2,881","3,400","3,222","998","275","8","0","20,691","20,691","1,775","2,045","2,245","2,606","3,224","4,197","3,044","1,033","436","83","3"
"부산광역시 북구 화명제2동(2632054200)","17,462","17,462","1,225","1,397","2,177","2,253","2,245","3,285","2,955","1,263","580","80","2","8,491","8,491","620","731","1,165","1,163","1,103","1,458","1,455","573","208","14","1","8,971","8,971","605","666","1,012","1,090","1,142","1,827","1,500","690","372","66","1"
"부산광역시 북구 화명제3동(2632054300)","28,727","28,727","2,092","3,561","3,487","2,979","4,732","5,458","3,570","1,880","848","115","5","14,009","14,009","1,090","1,841","1,855","1,464","2,134","2,639","1,747","864","342","33","0","14,718","14,718","1,002","1,720","1,632","1,515","2,598","2,819","1,823","1,016","506","82","5"
"부산광역시 북구 덕천제1동(2632055000)","11,905","11,905","480","504","1,399","1,578","1,361","1,927","2,495","1,402","674","81","4","5,849","5,849","236","247","752","879","738","939","1,157","641","242","17","1","6,056","6,056","244","257","647","699","623","988","1,338","761","432","64","3"
"부산광역시 북구 덕천제2동(2632056000)","11,485","11,485","329","534","1,534","1,450","1,321","1,994","2,481","1,214","548","78","2","5,722","5,722","179","262","794","859","708","997","1,171","542","197","13","0","5,763","5,763","150","272","740","591","613","997","1,310","672","351","65","2"
"부산광역시 북구 덕천제3동(2632056100)","10,298","10,298","327","608","1,186","994","1,328","1,752","2,139","1,309","589","64","2","4,984","4,984","172","322","620","545","734","854","989","547","190","11","0","5,314","5,314","155","286","566","449","594","898","1,150","762","399","53","2"
"부산광역시 북구 만덕제1동(2632057100)","16,563","16,563","1,463","992","1,544","2,932","2,416","2,373","2,927","1,410","466","40","0","8,092","8,092","753","529","735","1,518","1,234","1,076","1,391","669","186","1","0","8,471","8,471","710","463","809","1,414","1,182","1,297","1,536","741","280","39","0"
"부산광역시 북구 만덕제2동(2632057200)","26,899","26,899","2,052","2,312","2,763","3,413","4,055","4,297","4,870","2,258","771","108","0","13,148","13,148","1,044","1,213","1,417","1,748","2,036","2,020","2,275","1,096","285","14","0","13,751","13,751","1,008","1,099","1,346","1,665","2,019","2,277","2,595","1,162","486","94","0"
"부산광역시 북구 만덕제3동(2632057300)","18,032","18,032","958","1,278","1,916","2,039","2,431","3,006","4,006","1,691","624","79","4","8,764","8,764","516","676","1,060","1,049","1,252","1,294","1,816","822","263","16","0","9,268","9,268","442","602","856","990","1,179","1,712","2,190","869","361","63","4"
"부산광역시 해운대구 (2635000000)","384,036","384,036","24,217","35,891","41,876","42,247","60,744","67,453","61,621","32,860","15,084","1,984","59","184,117","184,117","12,415","18,551","21,825","20,792","28,941","32,026","28,990","14,681","5,452","432","12","199,919","199,919","11,802","17,340","20,051","21,455","31,803","35,427","32,631","18,179","9,632","1,552","47"
"부산광역시 해운대구 우제1동(2635051000)","22,239","22,239","1,232","1,604","2,641","2,783","3,291","3,766","3,680","2,203","920","116","3","10,546","10,546","586","835","1,285","1,385","1,568","1,784","1,683","1,019","382","19","0","11,693","11,693","646","769","1,356","1,398","1,723","1,982","1,997","1,184","538","97","3"
"부산광역시 해운대구 우제2동(2635052000)","30,173","30,173","2,528","3,090","3,041","3,416","5,050","5,338","4,282","2,239","1,039","145","5","14,284","14,284","1,293","1,598","1,566","1,549","2,310","2,507","2,003","1,019","412","26","1","15,889","15,889","1,235","1,492","1,475","1,867","2,740","2,831","2,279","1,220","627","119","4"
"부산광역시 해운대구 우제3동(2635052500)","28,096","28,096","2,635","3,181","2,427","2,919","5,006","4,648","4,183","2,045","911","135","6","13,261","13,261","1,369","1,621","1,267","1,240","2,306","2,114","1,969","963","375","35","2","14,835","14,835","1,266","1,560","1,160","1,679","2,700","2,534","2,214","1,082","536","100","4"
"부산광역시 해운대구 중제1동(2635053000)","27,353","27,353","2,036","2,536","3,131","3,376","4,685","4,869","3,704","1,981","926","104","5","13,104","13,104","1,069","1,314","1,546","1,599","2,210","2,352","1,717","905","362","29","1","14,249","14,249","967","1,222","1,585","1,777","2,475","2,517","1,987","1,076","564","75","4"
"부산광역시 해운대구 중제2동(2635054000)","15,313","15,313","1,128","1,160","1,431","1,984","2,615","2,625","2,628","1,192","471","76","3","7,298","7,298","547","623","741","971","1,289","1,229","1,183","518","180","17","0","8,015","8,015","581","537","690","1,013","1,326","1,396","1,445","674","291","59","3"
"부산광역시 해운대구 좌제1동(2635055100)","17,535","17,535","982","1,917","2,486","1,986","2,858","3,254","2,180","1,071","709","89","3","8,165","8,165","497","1,011","1,185","945","1,216","1,548","1,063","434","231","34","1","9,370","9,370","485","906","1,301","1,041","1,642","1,706","1,117","637","478","55","2"
"부산광역시 해운대구 좌제2동(2635055200)","31,008","31,008","1,753","2,610","4,397","4,367","4,566","5,539","4,427","2,026","1,143","175","5","14,286","14,286","905","1,323","2,065","2,113","2,040","2,432","2,102","838","418","48","2","16,722","16,722","848","1,287","2,332","2,254","2,526","3,107","2,325","1,188","725","127","3"
"부산광역시 해운대구 좌제3동(2635055300)","15,523","15,523","934","1,600","1,669","1,556","2,233","2,845","2,463","1,286","800","135","2","7,282","7,282","480","821","920","776","993","1,295","1,139","543","277","38","0","8,241","8,241","454","779","749","780","1,240","1,550","1,324","743","523","97","2"
"부산광역시 해운대구 좌제4동(2635055400)","22,390","22,390","1,508","2,746","2,576","2,367","3,572","4,256","3,016","1,433","803","106","7","10,612","10,612","799","1,390","1,362","1,124","1,569","1,991","1,462","597","290","27","1","11,778","11,778","709","1,356","1,214","1,243","2,003","2,265","1,554","836","513","79","6"
"부산광역시 해운대구 송정동(2635056000)","9,506","9,506","389","508","928","1,104","1,254","1,593","2,001","1,112","548","67","2","4,588","4,588","208","287","516","580","682","727","892","510","178","8","0","4,918","4,918","181","221","412","524","572","866","1,109","602","370","59","2"
"부산광역시 해운대구 반여제1동(2635057000)","34,611","34,611","2,343","3,929","3,891","3,585","5,702","6,354","5,094","2,537","1,039","134","3","17,011","17,011","1,200","2,044","2,090","1,782","2,634","3,130","2,520","1,205","379","26","1","17,600","17,600","1,143","1,885","1,801","1,803","3,068","3,224","2,574","1,332","660","108","2"
"부산광역시 해운대구 반여제2동(2635058000)","11,956","11,956","390","521","1,130","1,318","1,533","2,121","2,551","1,605","707","79","1","5,798","5,798","194","263","644","727","848","1,028","1,176","672","226","20","0","6,158","6,158","196","258","486","591","685","1,093","1,375","933","481","59","1"
"부산광역시 해운대구 반여제3동(2635059000)","8,074","8,074","158","375","819","670","941","1,490","1,902","1,123","537","59","0","3,935","3,935","87","197","454","396","509","760","867","466","190","9","0","4,139","4,139","71","178","365","274","432","730","1,035","657","347","50","0"
"부산광역시 해운대구 반여제4동(2635059500)","15,079","15,079","1,032","1,450","1,681","1,664","2,382","2,732","2,580","1,149","367","42","0","7,397","7,397","531","738","921","823","1,187","1,255","1,228","578","131","5","0","7,682","7,682","501","712","760","841","1,195","1,477","1,352","571","236","37","0"
"부산광역시 해운대구 반송제1동(2635061000)","13,017","13,017","289","588","1,324","999","1,456","2,390","2,820","2,010","1,034","107","0","6,518","6,518","147","295","748","595","834","1,284","1,373","850","377","15","0","6,499","6,499","142","293","576","404","622","1,106","1,447","1,160","657","92","0"
"부산광역시 해운대구 반송제2동(2635062000)","22,011","22,011","682","1,244","1,881","1,681","2,664","3,739","5,069","3,335","1,518","192","6","10,690","10,690","359","664","1,063","924","1,493","1,845","2,429","1,401","478","33","1","11,321","11,321","323","580","818","757","1,171","1,894","2,640","1,934","1,040","159","5"
"부산광역시 해운대구 재송제1동(2635065000)","36,864","36,864","3,278","4,984","3,800","3,904","7,524","5,709","4,469","2,301","784","107","4","18,076","18,076","1,677","2,590","2,014","1,873","3,516","2,874","2,096","1,104","311","20","1","18,788","18,788","1,601","2,394","1,786","2,031","4,008","2,835","2,373","1,197","473","87","3"
"부산광역시 해운대구 재송제2동(2635066000)","23,288","23,288","920","1,848","2,623","2,568","3,412","4,185","4,572","2,212","828","116","4","11,266","11,266","467","937","1,438","1,390","1,737","1,871","2,088","1,059","255","23","1","12,022","12,022","453","911","1,185","1,178","1,675","2,314","2,484","1,153","573","93","3"
"부산광역시 사하구 (2638000000)","301,398","301,398","16,501","23,938","35,227","33,712","43,334","51,507","54,923","28,972","11,802","1,448","34","149,553","149,553","8,569","12,252","18,894","17,891","22,320","25,343","26,236","13,411","4,339","295","3","151,845","151,845","7,932","11,686","16,333","15,821","21,014","26,164","28,687","15,561","7,463","1,153","31"
"부산광역시 사하구 괴정제1동(2638051000)","18,510","18,510","802","1,408","1,989","1,852","2,460","3,073","3,572","2,191","1,018","139","6","8,820","8,820","428","720","1,043","966","1,223","1,414","1,600","1,021","371","34","0","9,690","9,690","374","688","946","886","1,237","1,659","1,972","1,170","647","105","6"
"부산광역시 사하구 괴정제2동(2638052000)","15,334","15,334","913","1,219","1,547","1,728","2,251","2,466","2,753","1,729","663","64","1","7,426","7,426","459","609","792","910","1,116","1,232","1,254","795","251","8","0","7,908","7,908","454","610","755","818","1,135","1,234","1,499","934","412","56","1"
"부산광역시 사하구 괴정제3동(2638053000)","11,890","11,890","409","686","1,197","1,283","1,467","1,976","2,559","1,540","694","78","1","5,665","5,665","223","355","607","685","768","947","1,149","652","257","22","0","6,225","6,225","186","331","590","598","699","1,029","1,410","888","437","56","1"
"부산광역시 사하구 괴정제4동(2638054000)","14,794","14,794","1,116","1,263","1,505","1,815","2,325","2,289","2,499","1,381","534","64","3","7,226","7,226","599","622","798","922","1,172","1,086","1,148","651","214","13","1","7,568","7,568","517","641","707","893","1,153","1,203","1,351","730","320","51","2"
"부산광역시 사하구 당리동(2638055000)","24,819","24,819","1,214","2,057","2,768","2,580","3,516","4,237","4,824","2,488","1,005","129","1","12,068","12,068","620","1,070","1,454","1,341","1,745","1,943","2,270","1,209","392","24","0","12,751","12,751","594","987","1,314","1,239","1,771","2,294","2,554","1,279","613","105","1"
"부산광역시 사하구 하단제1동(2638056100)","21,593","21,593","1,007","1,562","3,469","2,865","2,926","3,438","3,647","1,843","740","93","3","10,765","10,765","520","783","1,794","1,622","1,516","1,662","1,686","872","292","18","0","10,828","10,828","487","779","1,675","1,243","1,410","1,776","1,961","971","448","75","3"
"부산광역시 사하구 하단제2동(2638056200)","25,249","25,249","1,183","1,900","5,273","3,091","3,312","3,885","3,817","1,952","754","78","4","12,674","12,674","640","929","2,941","1,688","1,724","1,851","1,725","861","294","20","1","12,575","12,575","543","971","2,332","1,403","1,588","2,034","2,092","1,091","460","58","3"
"부산광역시 사하구 신평제1동(2638057100)","16,007","16,007","883","1,008","1,487","1,727","2,311","2,888","3,223","1,697","718","64","1","8,233","8,233","447","546","804","961","1,302","1,541","1,584","775","261","12","0","7,774","7,774","436","462","683","766","1,009","1,347","1,639","922","457","52","1"
"부산광역시 사하구 신평제2동(2638057200)","17,390","17,390","1,153","1,365","2,011","2,490","2,557","3,033","3,009","1,288","416","67","1","8,653","8,653","611","703","1,009","1,313","1,337","1,437","1,442","639","148","13","1","8,737","8,737","542","662","1,002","1,177","1,220","1,596","1,567","649","268","54","0"
"부산광역시 사하구 장림제1동(2638058000)","10,336","10,336","729","932","905","1,190","1,874","1,717","1,648","963","346","32","0","5,346","5,346","380","475","511","617","1,044","945","809","431","129","5","0","4,990","4,990","349","457","394","573","830","772","839","532","217","27","0"
"부산광역시 사하구 장림제2동(2638059000)","26,334","26,334","1,484","2,322","2,970","3,084","4,133","4,624","4,653","2,236","750","74","4","13,364","13,364","784","1,205","1,593","1,688","2,138","2,320","2,264","1,074","283","15","0","12,970","12,970","700","1,117","1,377","1,396","1,995","2,304","2,389","1,162","467","59","4"
"부산광역시 사하구 다대제1동(2638060100)","37,179","37,179","2,248","3,656","3,876","3,621","5,725","6,847","6,449","3,170","1,401","184","2","18,554","18,554","1,137","1,896","2,145","1,825","2,826","3,444","3,279","1,472","487","43","0","18,625","18,625","1,111","1,760","1,731","1,796","2,899","3,403","3,170","1,698","914","141","2"
"부산광역시 사하구 다대제2동(2638060200)","26,187","26,187","1,334","2,136","2,806","2,278","3,566","4,947","5,248","2,585","1,110","175","2","12,857","12,857","670","1,093","1,593","1,180","1,720","2,422","2,616","1,167","365","31","0","13,330","13,330","664","1,043","1,213","1,098","1,846","2,525","2,632","1,418","745","144","2"
"부산광역시 사하구 구평동(2638061000)","12,667","12,667","1,272","986","1,233","2,201","2,062","1,925","1,881","830","233","43","1","6,469","6,469","682","530","633","1,128","1,109","967","907","419","89","5","0","6,198","6,198","590","456","600","1,073","953","958","974","411","144","38","1"
"부산광역시 사하구 감천제1동(2638062000)","17,557","17,557","641","1,246","1,764","1,556","2,254","3,144","3,900","2,108","847","96","1","8,631","8,631","322","625","928","849","1,210","1,534","1,866","960","314","23","0","8,926","8,926","319","621","836","707","1,044","1,610","2,034","1,148","533","73","1"
"부산광역시 사하구 감천제2동(2638063000)","5,552","5,552","113","192","427","351","595","1,018","1,241","971","573","68","3","2,802","2,802","47","91","249","196","370","598","637","413","192","9","0","2,750","2,750","66","101","178","155","225","420","604","558","381","59","3"
"부산광역시 금정구 (2641000000)","219,177","219,177","10,446","16,457","29,364","22,506","29,109","36,665","39,839","22,957","10,491","1,311","32","106,987","106,987","5,336","8,418","15,888","11,941","14,592","17,521","18,581","10,363","4,040","302","5","112,190","112,190","5,110","8,039","13,476","10,565","14,517","19,144","21,258","12,594","6,451","1,009","27"
"부산광역시 금정구 서제1동(2641051000)","4,799","4,799","52","184","392","354","575","867","1,240","721","376","38","0","2,515","2,515","25","99","231","234","354","487","621","326","130","8","0","2,284","2,284","27","85","161","120","221","380","619","395","246","30","0"
"부산광역시 금정구 서제2동(2641052000)","8,678","8,678","234","406","867","837","987","1,586","2,164","1,117","438","42","0","4,344","4,344","118","210","475","464","554","793","1,033","523","164","10","0","4,334","4,334","116","196","392","373","433","793","1,131","594","274","32","0"
"부산광역시 금정구 서제3동(2641053000)","10,649","10,649","280","434","993","1,007","1,199","1,921","2,576","1,517","661","60","1","5,294","5,294","143","226","526","578","678","971","1,212","680","267","13","0","5,355","5,355","137","208","467","429","521","950","1,364","837","394","47","1"
"부산광역시 금정구 금사회동동(2641055500)","7,485","7,485","198","299","638","678","861","1,316","1,886","1,134","432","43","0","3,929","3,929","115","149","354","386","530","689","985","546","167","8","0","3,556","3,556","83","150","284","292","331","627","901","588","265","35","0"
"부산광역시 금정구 부곡제1동(2641057000)","7,850","7,850","240","401","676","709","961","1,248","1,747","1,238","559","71","0","3,787","3,787","127","202","372","408","538","630","779","536","183","12","0","4,063","4,063","113","199","304","301","423","618","968","702","376","59","0"
"부산광역시 금정구 부곡제2동(2641058000)","17,432","17,432","839","1,451","2,444","1,828","2,477","3,036","2,874","1,585","800","92","6","8,264","8,264","440","732","1,214","951","1,170","1,401","1,324","710","295","26","1","9,168","9,168","399","719","1,230","877","1,307","1,635","1,550","875","505","66","5"
"부산광역시 금정구 부곡제3동(2641059000)","15,234","15,234","916","1,287","1,907","1,804","2,150","2,551","2,552","1,355","611","99","2","7,268","7,268","456","626","1,002","951","1,025","1,195","1,139","624","225","25","0","7,966","7,966","460","661","905","853","1,125","1,356","1,413","731","386","74","2"
"부산광역시 금정구 부곡제4동(2641059100)","12,230","12,230","421","706","1,291","1,256","1,548","2,118","2,579","1,622","629","57","3","5,850","5,850","216","371","682","684","802","981","1,135","716","256","6","1","6,380","6,380","205","335","609","572","746","1,137","1,444","906","373","51","2"
"부산광역시 금정구 장전제1동(2641060000)","18,040","18,040","677","1,303","6,102","1,842","2,041","2,117","2,032","1,255","592","76","3","9,443","9,443","323","635","3,557","1,076","1,059","1,036","946","553","239","19","0","8,597","8,597","354","668","2,545","766","982","1,081","1,086","702","353","57","3"
"부산광역시 금정구 장전제2동(2641061000)","25,985","25,985","2,243","2,559","2,992","3,208","4,554","3,689","3,403","2,133","1,034","167","3","12,555","12,555","1,170","1,407","1,576","1,557","2,213","1,758","1,507","921","414","31","1","13,430","13,430","1,073","1,152","1,416","1,651","2,341","1,931","1,896","1,212","620","136","2"
"부산광역시 금정구 선두구동(2641063500)","2,190","2,190","58","76","168","183","196","419","571","325","171","22","1","1,162","1,162","34","47","85","113","114","224","316","148","74","7","0","1,028","1,028","24","29","83","70","82","195","255","177","97","15","1"
"부산광역시 금정구 청룡노포동(2641066500)","9,635","9,635","430","670","908","891","1,100","1,678","1,954","1,303","623","74","4","4,718","4,718","224","356","520","477","536","803","890","616","271","25","0","4,917","4,917","206","314","388","414","564","875","1,064","687","352","49","4"
"부산광역시 금정구 남산동(2641067000)","27,206","27,206","890","1,738","3,941","2,669","3,092","4,941","5,264","3,045","1,456","164","6","13,217","13,217","468","887","2,106","1,462","1,549","2,340","2,464","1,345","555","40","1","13,989","13,989","422","851","1,835","1,207","1,543","2,601","2,800","1,700","901","124","5"
"부산광역시 금정구 구서제1동(2641068000)","19,025","19,025","1,099","1,826","2,201","2,082","2,857","3,365","3,130","1,596","781","88","0","8,989","8,989","565","876","1,143","1,027","1,360","1,538","1,449","738","278","15","0","10,036","10,036","534","950","1,058","1,055","1,497","1,827","1,681","858","503","73","0"
"부산광역시 금정구 구서제2동(2641069000)","31,763","31,763","1,826","3,002","3,784","3,094","4,369","5,670","5,643","2,890","1,275","207","3","15,175","15,175","894","1,530","2,015","1,539","2,045","2,595","2,672","1,319","512","53","1","16,588","16,588","932","1,472","1,769","1,555","2,324","3,075","2,971","1,571","763","154","2"
"부산광역시 금정구 금성동(2641070000)","976","976","43","115","60","64","142","143","224","121","53","11","0","477","477","18","65","30","34","65","80","109","62","10","4","0","499","499","25","50","30","30","77","63","115","59","43","7","0"
"부산광역시 강서구 (2644000000)","143,029","143,029","18,096","14,412","11,724","24,253","28,265","17,130","17,640","7,891","3,130","480","8","74,162","74,162","9,323","7,372","6,434","12,309","15,585","9,057","8,880","3,974","1,132","94","2","68,867","68,867","8,773","7,040","5,290","11,944","12,680","8,073","8,760","3,917","1,998","386","6"
"부산광역시 강서구 대저1동(2644051000)","6,087","6,087","140","236","465","529","592","1,002","1,601","1,013","441","67","1","3,362","3,362","62","127","275","328","364","583","905","539","165","14","0","2,725","2,725","78","109","190","201","228","419","696","474","276","53","1"
"부산광역시 강서구 대저2동(2644052000)","6,844","6,844","398","449","753","916","844","961","1,384","720","363","56","0","3,842","3,842","217","241","497","548","503","561","765","365","138","7","0","3,002","3,002","181","208","256","368","341","400","619","355","225","49","0"
"부산광역시 강서구 강동동(2644053000)","4,032","4,032","69","116","246","297","310","698","1,276","684","286","49","1","2,150","2,150","42","61","155","174","194","394","682","350","88","10","0","1,882","1,882","27","55","91","123","116","304","594","334","198","39","1"
"부산광역시 강서구 명지1동(2644053500)","54,132","54,132","9,261","5,589","4,153","11,859","11,580","4,931","4,410","1,706","559","81","3","27,165","27,165","4,698","2,780","2,073","5,707","6,283","2,461","2,082","863","205","13","0","26,967","26,967","4,563","2,809","2,080","6,152","5,297","2,470","2,328","843","354","68","3"
"부산광역시 강서구 명지2동(2644054500)","30,137","30,137","4,197","4,782","2,350","3,827","7,170","3,667","2,716","1,017","351","59","1","15,037","15,037","2,186","2,464","1,206","1,727","3,619","1,879","1,304","500","136","15","1","15,100","15,100","2,011","2,318","1,144","2,100","3,551","1,788","1,412","517","215","44","0"
"부산광역시 강서구 가락동(2644055000)","2,212","2,212","26","58","128","163","179","380","615","420","213","30","0","1,196","1,196","14","32","74","108","117","217","328","225","76","5","0","1,016","1,016","12","26","54","55","62","163","287","195","137","25","0"
"부산광역시 강서구 녹산동(2644056000)","35,381","35,381","3,885","3,041","3,322","6,269","7,121","4,697","4,477","1,786","685","98","0","19,188","19,188","2,043","1,598","1,967","3,482","4,211","2,542","2,227","851","246","21","0","16,193","16,193","1,842","1,443","1,355","2,787","2,910","2,155","2,250","935","439","77","0"
"부산광역시 강서구 가덕도동(2644058000)","4,204","4,204","120","141","307","393","469","794","1,161","545","232","40","2","2,222","2,222","61","69","187","235","294","420","587","281","78","9","1","1,982","1,982","59","72","120","158","175","374","574","264","154","31","1"
"부산광역시 연제구 (2647000000)","203,012","203,012","12,543","16,038","22,931","25,199","30,603","32,735","33,852","19,538","8,622","926","25","97,248","97,248","6,336","8,154","11,474","12,739","15,030","15,559","15,510","8,748","3,495","199","4","105,764","105,764","6,207","7,884","11,457","12,460","15,573","17,176","18,342","10,790","5,127","727","21"
"부산광역시 연제구 거제제1동(2647061000)","28,236","28,236","1,997","3,418","3,040","2,548","4,937","4,866","3,766","2,424","1,127","106","7","13,573","13,573","1,065","1,796","1,596","1,214","2,229","2,397","1,728","1,036","492","18","2","14,663","14,663","932","1,622","1,444","1,334","2,708","2,469","2,038","1,388","635","88","5"
"부산광역시 연제구 거제제2동(2647062000)","12,581","12,581","896","1,665","1,282","1,156","2,315","2,112","1,693","978","440","43","1","5,945","5,945","409","797","633","563","1,078","1,056","778","433","187","10","1","6,636","6,636","487","868","649","593","1,237","1,056","915","545","253","33","0"
"부산광역시 연제구 거제제3동(2647063000)","9,623","9,623","394","602","1,029","1,006","1,130","1,557","1,813","1,276","721","93","2","4,546","4,546","217","297","512","539","562","741","829","544","284","21","0","5,077","5,077","177","305","517","467","568","816","984","732","437","72","2"
"부산광역시 연제구 거제제4동(2647064000)","9,854","9,854","509","939","1,040","946","1,431","1,736","1,811","961","423","56","2","4,816","4,816","270","510","566","491","687","815","832","470","162","12","1","5,038","5,038","239","429","474","455","744","921","979","491","261","44","1"
"부산광역시 연제구 연산제1동(2647065000)","16,330","16,330","1,093","1,316","1,572","2,039","2,512","2,587","2,911","1,598","629","71","2","7,953","7,953","548","708","840","1,026","1,254","1,233","1,331","743","250","20","0","8,377","8,377","545","608","732","1,013","1,258","1,354","1,580","855","379","51","2"
"부산광역시 연제구 연산제2동(2647066000)","20,012","20,012","1,790","1,303","2,095","3,207","3,118","2,990","2,887","1,738","800","82","2","9,538","9,538","901","642","1,011","1,563","1,568","1,413","1,324","774","321","21","0","10,474","10,474","889","661","1,084","1,644","1,550","1,577","1,563","964","479","61","2"
"부산광역시 연제구 연산제3동(2647067000)","10,819","10,819","812","556","971","1,649","1,569","1,613","1,972","1,146","495","35","1","5,216","5,216","433","280","500","847","801","762","864","529","193","7","0","5,603","5,603","379","276","471","802","768","851","1,108","617","302","28","1"
"부산광역시 연제구 연산제4동(2647068000)","15,704","15,704","515","867","2,106","1,863","2,021","2,453","3,173","1,843","775","85","3","7,512","7,512","261","411","966","1,008","1,033","1,183","1,491","815","323","21","0","8,192","8,192","254","456","1,140","855","988","1,270","1,682","1,028","452","64","3"
"부산광역시 연제구 연산제5동(2647069000)","16,571","16,571","654","611","3,270","3,213","2,267","2,363","2,267","1,300","576","49","1","7,842","7,842","290","319","1,377","1,602","1,190","1,168","1,043","592","250","11","0","8,729","8,729","364","292","1,893","1,611","1,077","1,195","1,224","708","326","38","1"
"부산광역시 연제구 연산제6동(2647070000)","16,121","16,121","890","938","1,630","2,022","2,216","2,435","3,013","1,944","940","93","0","7,722","7,722","437","481","875","1,053","1,179","1,152","1,337","826","365","17","0","8,399","8,399","453","457","755","969","1,037","1,283","1,676","1,118","575","76","0"
"부산광역시 연제구 연산제8동(2647072000)","13,579","13,579","1,008","1,089","1,272","1,616","2,176","2,211","2,420","1,280","451","56","0","6,614","6,614","522","538","668","826","1,084","1,072","1,141","577","174","12","0","6,965","6,965","486","551","604","790","1,092","1,139","1,279","703","277","44","0"
"부산광역시 연제구 연산제9동(2647073000)","33,582","33,582","1,985","2,734","3,624","3,934","4,911","5,812","6,126","3,050","1,245","157","4","15,971","15,971","983","1,375","1,930","2,007","2,365","2,567","2,812","1,409","494","29","0","17,611","17,611","1,002","1,359","1,694","1,927","2,546","3,245","3,314","1,641","751","128","4"
"부산광역시 수영구 (2650000000)","175,470","175,470","9,376","11,502","22,828","23,828","24,551","26,709","29,117","18,376","8,111","1,040","32","82,309","82,309","4,731","5,937","10,768","11,943","12,034","12,478","12,800","8,134","3,210","264","10","93,161","93,161","4,645","5,565","12,060","11,885","12,517","14,231","16,317","10,242","4,901","776","22"
"부산광역시 수영구 남천제1동(2650066000)","15,976","15,976","1,032","1,312","1,901","2,097","2,328","2,668","2,363","1,436","721","115","3","7,327","7,327","482","652","911","1,026","1,084","1,245","1,015","590","283","37","2","8,649","8,649","550","660","990","1,071","1,244","1,423","1,348","846","438","78","1"
"부산광역시 수영구 남천제2동(2650067000)","12,882","12,882","855","1,215","1,281","1,300","1,949","2,291","2,192","1,215","493","87","4","5,986","5,986","418","625","670","631","869","1,004","980","551","223","14","1","6,896","6,896","437","590","611","669","1,080","1,287","1,212","664","270","73","3"
"부산광역시 수영구 수영동(2650073000)","14,102","14,102","497","626","1,529","1,595","1,732","2,105","2,870","2,065","977","103","3","6,718","6,718","256","327","759","824","922","1,052","1,231","932","398","17","0","7,384","7,384","241","299","770","771","810","1,053","1,639","1,133","579","86","3"
"부산광역시 수영구 망미제1동(2650074000)","26,854","26,854","1,489","1,914","2,594","3,019","3,705","4,058","5,103","3,298","1,463","208","3","12,756","12,756","773","991","1,313","1,511","1,853","1,875","2,249","1,549","571","71","0","14,098","14,098","716","923","1,281","1,508","1,852","2,183","2,854","1,749","892","137","3"
"부산광역시 수영구 망미제2동(2650075000)","10,229","10,229","529","725","1,030","1,175","1,453","1,662","1,918","1,229","452","55","1","4,989","4,989","269","405","559","622","756","796","855","516","203","7","1","5,240","5,240","260","320","471","553","697","866","1,063","713","249","48","0"
"부산광역시 수영구 광안제1동(2650076000)","25,750","25,750","1,009","1,481","5,011","4,304","3,350","3,420","3,689","2,333","1,021","129","3","11,903","11,903","531","811","2,073","2,209","1,621","1,585","1,600","1,037","395","40","1","13,847","13,847","478","670","2,938","2,095","1,729","1,835","2,089","1,296","626","89","2"
"부산광역시 수영구 광안제2동(2650077000)","18,632","18,632","901","1,254","2,826","2,790","2,776","2,672","2,678","1,799","835","91","10","8,611","8,611","450","614","1,275","1,373","1,358","1,252","1,191","749","321","24","4","10,021","10,021","451","640","1,551","1,417","1,418","1,420","1,487","1,050","514","67","6"
"부산광역시 수영구 광안제3동(2650078000)","9,585","9,585","201","371","1,965","1,601","1,105","1,236","1,540","1,062","459","44","1","4,454","4,454","104","181","823","828","557","613","715","456","165","11","1","5,131","5,131","97","190","1,142","773","548","623","825","606","294","33","0"
"부산광역시 수영구 광안제4동(2650079000)","13,451","13,451","842","875","1,569","1,961","2,025","2,061","2,048","1,315","687","67","1","6,073","6,073","416","444","745","950","920","918","852","553","257","18","0","7,378","7,378","426","431","824","1,011","1,105","1,143","1,196","762","430","49","1"
